Flight ID,Source airport,Destination airport,Departure time,Duration
134,GYD,TLV,3.0,7.5
135,GYD,TBS,16.5,13.0
136,GYD,MRV,7.5,1.0
137,GYD,MXP,12.5,0.5
138,GYD,KVD,4.0,0.0
139,GYD,VIE,1.5,17.5
140,GYD,LHR,10.0,4.0
141,KGD,EGO,8.0,7.0
142,KGD,LED,0.0,7.5
143,KGD,DME,1.5,14.0
144,KGD,MSQ,2.0,16.0
145,KGD,SVO,13.5,9.5
146,KGD,TAS,12.0,4.0
147,KZN,FRU,5.0,12.0
148,KZN,OSS,17.5,13.0
149,KZN,SHJ,2.0,13.0
150,KZN,LBD,11.5,3.0
151,KZN,UFA,15.5,3.5
152,KZN,FEG,0.5,12.5
153,KZN,EGO,5.0,3.5
154,KZN,IST,4.5,0.5
155,KZN,LED,7.5,8.5
156,KZN,DME,9.0,4.5
157,LED,DYU,14.5,0.0
158,LED,VOZ,22.5,18.0
159,LED,KSQ,12.5,2.0
160,LED,ROV,17.5,1.0
161,LED,AER,9.5,5.0
162,LED,LCA,22.5,14.0
163,LED,OMS,23.0,16.5
164,LED,NCE,4.5,6.5
165,LED,EGO,0.5,4.0
166,LED,IJK,23.0,9.0
167,LED,PEK,13.0,11.5
168,LED,SVX,17.5,12.5
169,LED,HEL,20.5,10.5
170,LED,BCN,1.5,15.0
171,LED,HAM,2.0,15.5
172,LED,VCE,7.5,8.0
173,LED,CPH,19.5,1.5
174,LED,OSL,7.0,9.5
175,LED,GVA,13.0,14.0
176,LED,REN,23.0,1.5
177,LED,SIP,10.0,6.0
178,LED,AAQ,5.0,11.5
179,LED,MLA,3.0,16.0
180,LED,ATH,17.0,3.0
181,LED,LHR,8.0,10.5
182,LED,MMK,0.5,10.5
183,LED,CDG,14.5,8.5
184,LED,TIV,18.0,9.5
185,LED,BOJ,9.0,11.0
186,LED,PUJ,21.5,0.0
187,LED,VNO,4.5,4.5
188,LED,OVB,18.0,10.0
189,LED,CEK,5.5,2.5
190,LED,LBD,19.5,10.5
191,LED,SVO,10.0,2.0
192,LED,TLL,1.0,4.0
193,LED,AZN,6.0,4.5
194,LED,KIV,4.5,2.5
195,LED,PED,4.5,10.0
196,LED,ASF,11.0,9.0
197,LED,MCX,20.5,14.5
198,LED,HER,5.0,16.0
199,LED,NMA,6.5,8.0
200,LED,ICN,20.0,9.0
201,LED,IST,6.5,6.0
202,LED,RIX,9.0,17.0
203,LED,KUF,12.5,1.5
204,LED,VIE,13.0,10.5
205,MRV,SVX,10.0,18.5
206,MRV,GYD,6.0,2.0
207,MRV,LED,16.5,7.5
208,MRV,SAW,3.0,0.0
209,MRV,DXB,3.5,0.0
210,MRV,DME,15.0,18.0
211,NBC,IST,13.0,8.0
212,NBC,LED,14.0,8.0
213,NJC,DME,11.5,2.5
214,NJC,SVO,9.0,5.0
215,NJC,OVB,6.5,11.5
216,NUX,TJM,17.5,5.5
217,NUX,UFA,15.5,13.0
218,NUX,DME,20.0,11.5
219,NUX,OVB,13.0,5.5
220,OVB,FRU,13.5,16.5
221,OVB,CIT,5.0,10.5
222,OVB,PEK,22.5,11.5
223,OVB,SLY,22.0,11.0
224,OVB,OSS,15.0,14.0
225,OVB,PRG,19.0,1.0
226,OVB,KBP,1.5,10.0
227,OVB,TSE,11.5,5.0
228,OVB,ALA,10.5,16.5
229,OVB,PYJ,20.0,0.5
230,OVB,TJM,6.5,17.0
231,OVB,BTK,18.5,13.0
232,OVB,NSK,19.0,4.5
233,OVB,KJA,16.0,12.0
234,OVB,CEK,18.5,9.5
235,OVB,HTA,16.5,10.0
236,OVB,NUX,12.0,14.5
237,OVB,OMS,2.5,14.5
238,OVB,FEG,0.5,4.5
239,OVB,HMA,3.0,1.0
240,OVB,URC,0.0,9.0
241,OVB,IKT,5.5,10.5
242,OVB,LED,20.0,14.0
243,OVB,DME,20.0,7.5
244,OVB,DXB,9.0,12.5
245,SVX,FRU,12.0,6.5
246,SVX,DYU,9.5,0.0
247,SVX,CDG,0.0,11.0
248,SVX,NBC,16.5,10.5
249,SVX,SLY,20.0,12.5
250,SVX,PRG,23.5,10.5
251,SVX,TSE,10.0,0.5
252,SVX,NYM,17.0,6.0
253,SVX,EYK,1.5,7.0
254,SVX,HEL,5.0,1.0
255,SVX,HRG,14.5,17.5
256,SVX,SCW,12.0,8.0
257,SVX,NSK,11.5,9.0
258,SVX,BKK,14.5,1.5
259,SVX,ROV,21.0,10.0
260,SVX,KJA,15.0,7.5
261,SVX,AER,21.5,10.0
262,SVX,NUX,16.5,5.0
263,SVX,SHJ,10.0,8.0
264,SVX,UFA,7.0,3.0
265,SVX,LCA,10.0,9.5
266,SVX,HMA,18.5,4.0
267,SVX,OVS,6.0,12.5
268,SVX,FCO,11.5,8.5
269,SVX,HKT,23.0,7.0
270,SVX,TLV,11.0,7.5
271,SVX,EVN,21.0,13.5
272,SVX,MQF,16.5,10.5
273,SVX,DWC,14.5,4.5
274,SVX,IST,8.0,11.5
275,SVX,MRV,1.0,18.5
276,SVX,IJK,18.5,6.0
277,SVX,SSH,10.5,6.0
278,SVX,KRO,18.0,2.5
279,BTK,VKO,5.5,11.5
280,BTK,OVB,20.5,1.0
281,BTK,DME,1.5,2.5
282,HTA,IKT,11.5,13.5
283,HTA,HLD,18.5,3.0
284,HTA,BQS,3.5,0.0
285,HTA,KHV,18.5,11.5
286,HTA,UUD,6.5,6.0
287,IKT,FRU,23.5,6.0
288,IKT,DYU,1.0,4.0
289,IKT,OSS,10.5,5.0
290,IKT,KHV,23.5,1.5
291,IKT,OVB,15.5,2.5
292,IKT,GDX,16.5,3.0
293,IKT,ODO,15.0,9.5
294,IKT,VKO,18.5,3.5
295,IKT,ABA,1.0,1.5
296,IKT,KYZ,11.0,3.5
297,IKT,HRB,13.5,5.5
298,MJZ,DME,20.5,12.5
299,MJZ,OVB,5.5,16.5
300,MJZ,YKS,16.5,15.0
301,MJZ,KJA,20.5,15.5
302,MJZ,PYJ,1.5,3.5
303,ODO,IKT,23.5,12.0
304,UKX,IKT,0.5,6.0
305,ULK,YKS,13.5,10.0
306,YKS,PEK,15.0,15.0
307,YKS,MJZ,1.0,13.5
308,YKS,KHV,7.0,15.0
309,YKS,OVB,7.5,5.0
310,YKS,KJA,12.0,17.0
311,YKS,GDX,7.0,15.0
312,YKS,ULK,8.5,8.5
313,YKS,SVO,5.5,5.5
314,YKS,UUD,7.0,16.0
315,YKS,LED,19.0,8.0
316,YKS,DME,4.0,0.5
317,YKS,IKS,5.0,8.0
318,AYP,LIM,9.0,7.5
319,CUZ,PEM,23.0,9.0
320,HUU,LIM,23.0,15.0
321,IQT,LIM,23.5,18.0
322,LIM,TPP,15.5,6.5
323,LIM,PCL,12.5,7.0
324,LIM,GYE,18.5,10.0
325,LIM,SAL,6.0,18.5
326,LIM,IQT,4.5,11.5
327,LIM,CUZ,4.5,17.5
328,LIM,PUJ,2.0,10.5
329,LIM,EWR,7.5,0.0
330,LIM,LPB,21.5,0.0
331,LIM,MEX,6.0,11.5
332,LIM,TGI,13.0,9.0
333,LIM,TRU,12.5,0.5
334,LIM,VVI,6.0,11.0
335,LIM,PEM,3.5,16.0
336,LIM,AYP,4.5,18.0
337,LIM,CLO,0.5,7.5
338,LIM,ANF,10.5,4.5
339,LIM,IAH,12.5,4.0
340,LIM,CIX,0.5,8.0
341,LIM,MDE,1.5,1.0
342,LIM,MVD,21.0,2.5
343,LIM,JUL,5.5,8.5
344,LIM,CJA,19.0,8.5
345,LIM,CCS,5.5,13.5
346,LIM,JFK,19.0,2.5
347,LIM,MAD,17.5,18.0
348,LIM,SDQ,2.0,18.5
349,LIM,LAX,10.0,15.0
350,PCL,LIM,8.0,9.5
351,PEM,CUZ,2.0,10.0
352,ABJ,BOY,21.0,12.0
353,ABJ,LFW,16.0,17.0
354,ABJ,ROB,20.0,8.0
355,ABJ,BRU,2.0,16.0
356,ABJ,LBV,4.0,7.5
357,ABJ,OUA,12.5,17.5
358,ABJ,ACC,2.0,12.0
359,ABJ,NBO,14.5,3.5
360,ABJ,LOS,11.0,16.0
361,ABJ,ORY,13.0,14.5
362,ABJ,CKY,4.0,8.0
363,ABJ,TUN,16.0,3.5
364,ACC,TKD,2.0,2.5
365,ACC,AMS,16.5,3.5
366,ACC,TML,4.0,5.0
367,ACC,LFW,22.0,5.5
368,ACC,ROB,21.5,17.5
369,ACC,FRA,18.0,9.0
370,ACC,OUA,15.0,13.0
371,ACC,NBO,1.0,13.5
372,ACC,FCO,1.0,2.5
373,ACC,FNA,23.5,1.5
374,ACC,LOS,5.0,2.5
375,ACC,ABJ,5.0,18.5
376,ACC,CAI,18.5,9.0
377,ACC,NYI,15.0,1.0
378,ACC,CMN,13.0,8.5
379,ACC,IST,21.0,2.0
380,ACC,JFK,9.0,3.0
381,ACC,WDH,22.5,11.5
382,ACC,DXB,7.5,9.5
383,ACC,LHR,23.5,18.5
384,ACC,KMS,11.5,18.0
385,BKO,ADD,7.5,8.5
386,BKO,NBO,6.0,14.5
387,BKO,ALG,16.5,14.5
388,BKO,CKY,20.5,2.0
389,BKO,TUN,4.5,17.5
390,BKO,ORY,7.5,12.5
391,COO,ADD,13.5,10.5
392,COO,OUA,2.0,16.0
393,COO,ACC,2.0,11.5
394,COO,ABJ,8.0,2.0
395,COO,NBO,5.0,8.0
396,COO,BKO,5.0,15.0
397,COO,ABV,19.5,11.5
398,DKR,DLA,7.5,5.0
399,DKR,CDG,17.5,2.5
400,DKR,JNB,9.0,2.5
401,DKR,BKO,20.5,10.0
402,DKR,LPA,8.0,8.0
403,DKR,TFN,13.5,8.0
404,DKR,BCN,8.5,11.5
405,DKR,ORY,11.0,13.5
406,DKR,CMN,23.5,2.0
407,DKR,IST,23.5,4.0
408,DKR,JFK,21.5,15.0
409,DKR,CKY,23.0,17.5
410,DKR,DXB,10.0,16.5
411,DKR,MXP,21.0,14.0
412,DKR,TUN,12.0,18.0
413,LFW,ADD,9.0,15.0
414,LFW,OUA,14.5,18.5
415,LFW,ACC,15.0,12.5
416,LFW,ABJ,20.0,2.5
417,LFW,LBV,7.5,8.0
418,LFW,ABV,9.0,10.5
419,LFW,LOS,22.0,17.5
420,LFW,BKO,17.0,18.0
421,NIM,ADD,18.5,11.5
422,NIM,OUA,17.5,16.0
423,NIM,CMN,11.5,0.0
424,NIM,CDG,11.0,8.0
425,NIM,ALG,13.5,17.0
426,OUA,ACC,3.0,11.0
427,OUA,BOY,10.5,12.5
428,OUA,IST,12.5,15.0
429,OUA,LFW,11.5,7.0
430,OUA,NIM,2.5,6.5
431,OUA,BKO,12.0,7.5
432,BOG,GUA,21.5,4.0
433,BOG,SJO,22.0,6.0
434,BOG,APO,6.5,7.5
435,BOG,MZL,10.5,8.5
436,BOG,EJA,13.0,9.0
437,BOG,PUJ,10.5,11.5
438,BOG,MVP,1.5,8.5
439,BOG,IBE,13.5,9.0
440,BOG,BCN,1.5,0.5
441,BOG,PTY,0.5,13.5
442,BOG,MEX,16.0,17.0
443,BOG,PCR,14.5,1.5
444,BOG,PDA,19.0,13.0
445,BOG,EYP,2.5,7.0
446,BOG,VGZ,20.5,5.5
447,BOG,UIO,19.5,14.0
448,BOG,IAH,21.5,2.5
449,BOG,HAV,19.0,1.5
450,BOG,AUC,5.5,15.0
451,BOG,FLL,0.0,1.5
452,BOG,NVA,16.5,8.5
453,BOG,PEI,20.0,9.0
454,BOG,AUA,7.0,0.5
455,BOG,CUC,16.0,17.0
456,BOG,JFK,16.0,5.0
457,BOG,TME,8.5,2.0
458,BOG,FLA,18.5,9.5
459,BOG,UIB,3.0,14.5
460,BOG,CUN,2.5,9.0
461,CLO,SAL,8.0,10.5
462,CLO,GYE,9.5,6.5
463,CLO,PSO,23.5,9.5
464,CLO,ADZ,14.0,16.0
465,CLO,PUU,5.5,5.5
466,CLO,MAD,0.0,9.5
467,CLO,UIO,13.5,7.5
468,CLO,ESM,2.5,6.5
469,CLO,TCO,10.0,11.5
470,CLO,PTY,22.0,12.0
471,CLO,BOG,3.0,0.5
472,CLO,UIB,15.5,15.5
473,CLO,MIA,19.0,10.0
474,GYE,SCY,11.5,17.0
475,GYE,SAL,8.0,6.0
476,GYE,GPS,0.0,5.0
477,GYE,AMS,18.5,13.0
478,GYE,LIM,12.0,15.0
479,GYE,LTX,0.5,13.0
480,GYE,CUE,8.0,3.0
481,GYE,CLO,23.5,13.5
482,GYE,EZE,9.0,7.5
483,GYE,MIA,7.0,11.0
484,GYE,LOH,1.0,3.0
485,GYE,MAD,8.5,11.5
486,GYE,JFK,13.5,13.5
487,UIO,SAL,19.5,13.5
488,UIO,GYE,21.5,7.0
489,UIO,XMS,10.5,6.0
490,UIO,PTY,18.0,17.5
491,UIO,CLO,8.5,17.0
492,UIO,BOG,6.5,17.5
493,UIO,MIA,10.0,8.0
494,UIO,MEC,8.0,0.0
495,BDS,BVA,23.5,15.0
496,BDS,GRO,11.5,0.5
497,BDS,TSF,9.5,4.5
498,BDS,ZRH,19.5,9.5
499,BDS,CIA,9.5,11.0
500,BDS,MXP,17.5,0.0
501,BDS,CRL,6.5,11.5
502,BOD,SVQ,4.0,18.5
503,BOD,NTE,23.5,11.5
504,BOD,LTN,13.5,11.0
505,BOD,LYS,13.5,17.5
506,BOD,CDG,6.5,13.5
507,BOD,LGW,3.0,5.5
508,BOD,AJA,14.5,4.0
509,BOD,BRU,0.5,11.5
510,BOD,OLB,3.5,16.5
511,BOD,BCN,2.5,1.0
512,BOD,FLR,17.0,18.0
513,BOD,VCE,4.0,11.5
514,BOD,BSL,20.0,7.5
515,BOD,FSC,20.5,1.0
516,BOD,STN,11.0,10.5
517,BOD,FCO,14.5,11.5
518,BOD,ZRH,9.5,2.5
519,BOD,YUL,12.0,11.5
520,BOD,NCE,6.0,2.0
521,BOD,HER,19.5,9.5
522,BOD,ORY,10.5,0.5
523,BOD,BRS,9.5,8.0
524,BOD,PMO,5.5,18.0
525,BOD,TUN,18.0,9.0
526,BOD,LIL,10.5,0.5
527,BOD,CRL,16.5,7.0
528,BOD,TFS,16.0,0.5
529,BRS,POZ,17.5,3.5
530,BRS,AMS,8.0,6.0
531,BRS,JER,6.0,18.5
532,BRS,PRG,0.0,5.5
533,BRS,BFS,14.5,17.0
534,BRS,BUD,15.0,12.5
535,BRS,PSA,7.5,0.5
536,BRS,BRU,7.5,0.5
537,BRS,REU,20.5,14.5
538,BRS,HAM,12.0,14.5
539,BRS,ACE,15.5,11.5
540,BRS,CHQ,15.0,0.0
541,BRS,GVA,4.5,11.0
542,BRS,WRO,15.0,8.0
543,BRS,PFO,23.0,12.0
544,BRS,DLM,17.5,18.0
545,BRS,FNC,5.5,16.5
546,BRS,ZRH,22.0,2.0
547,BRS,BLQ,0.5,4.5
548,BRS,FCO,14.0,10.0
549,BRS,VLC,22.5,0.0
550,BRS,ORK,9.5,11.5
551,BRS,NCE,6.0,1.5
552,BRS,PMI,23.0,11.0
553,BRS,LIG,9.0,15.0
554,BRS,CEG,20.5,0.0
555,BRS,BGY,18.5,2.5
556,BRS,MLA,11.5,10.5
557,BRS,IBZ,18.0,2.5
558,BRS,SNN,16.0,11.0
559,BRS,MAD,19.5,3.0
560,BRS,MJV,0.0,14.0
561,BRS,MXP,16.0,6.0
562,BRS,WMI,18.0,8.0
563,BRS,NCL,16.0,5.0
564,BRS,TFS,13.5,10.5
565,BRS,RZE,18.0,10.5
566,BRS,AGP,5.5,16.5
567,BRS,BZR,23.0,16.0
568,GVA,SCQ,3.0,17.0
569,GVA,AJA,18.5,1.5
570,GVA,LUX,19.0,7.0
571,GVA,BRU,17.0,1.5
572,GVA,MSQ,12.5,14.0
573,GVA,CTA,4.5,2.0
574,GVA,ALG,15.5,10.5
575,GVA,ZRH,0.0,5.5
576,GVA,VLC,13.0,13.0
577,GVA,AUH,3.0,13.5
578,GVA,TLV,23.5,13.0
579,GVA,WAW,8.5,7.5
580,GVA,PRG,17.0,16.0
581,GVA,IAD,15.5,0.5
582,GVA,BUD,19.0,15.0
583,GVA,LPA,0.0,17.0
584,GVA,OTP,14.5,7.5
585,GVA,EDI,19.5,11.5
586,GVA,BCN,11.0,18.5
587,GVA,HAM,22.5,15.5
588,GVA,TLS,18.0,0.5
589,GVA,VCE,6.5,0.0
590,GVA,CPH,14.0,8.0
591,GVA,BIQ,9.5,5.5
592,GVA,ALC,6.5,3.0
593,GVA,JED,20.0,15.0
594,GVA,MLA,3.0,3.0
595,GVA,LCY,13.0,17.5
596,GVA,ATH,16.5,10.5
597,GVA,LHR,0.5,12.5
598,GVA,FAO,1.5,18.0
599,GVA,CDG,20.5,8.0
600,GVA,KBP,0.5,9.0
601,GVA,FRA,8.5,18.0
602,GVA,BIO,3.0,16.5
603,GVA,FLR,23.5,1.5
604,GVA,SVO,4.0,6.0
605,GVA,LED,22.0,10.0
606,GVA,LIL,10.5,12.0
607,GVA,AGP,13.5,4.5
608,GVA,BIA,15.5,4.5
609,GVA,DJE,13.5,9.0
610,GVA,OPO,10.5,16.5
611,GVA,BEG,14.5,14.0
612,GVA,CAI,11.5,3.5
613,GVA,IST,17.0,15.0
614,GVA,JFK,23.0,3.0
615,GVA,DME,10.0,0.0
616,GVA,SEN,9.5,2.5
617,LCA,SKG,19.0,18.5
618,LCA,BUD,14.5,7.0
619,LCA,BHX,5.5,3.0
620,LCA,KBP,17.0,12.0
621,LCA,OTP,4.0,13.5
622,LCA,LWO,16.0,18.5
623,LCA,MSQ,11.5,17.0
624,LCA,LPL,15.5,14.0
625,LCA,DOK,13.0,7.5
626,LCA,LBA,12.5,4.5
627,LCA,MUC,20.0,17.5
628,LCA,SXF,23.5,0.5
629,LCA,BSL,6.0,5.5
630,LCA,ZRH,11.5,4.5
631,LCA,GLA,3.5,1.0
632,LCA,MLA,14.0,15.0
633,LCA,CAI,8.0,0.5
634,LCA,ARN,1.0,12.5
635,LCA,DME,21.5,16.5
636,LCA,DXB,1.0,12.0
637,LCA,HAJ,21.0,9.0
638,LCA,LHR,8.5,5.5
639,LCA,EMA,17.0,10.0
640,LPA,SCQ,22.0,13.0
641,LPA,LUX,1.0,8.0
642,LPA,BRE,12.0,7.5
643,LPA,ZRH,17.5,3.0
644,LPA,VLC,10.5,3.0
645,LPA,BJL,17.0,8.0
646,LPA,ORY,13.5,7.0
647,LPA,VDE,11.0,2.0
648,LPA,TFS,17.0,17.0
649,LPA,FUE,11.5,13.0
650,LPA,LTN,14.0,14.5
651,LPA,PRG,9.0,1.5
652,LPA,BHX,11.0,2.5
653,LPA,BCN,3.0,18.5
654,LPA,SZG,19.0,6.5
655,LPA,HAM,3.0,16.5
656,LPA,CPH,16.5,17.5
657,LPA,NKC,5.5,9.5
658,LPA,LEJ,18.0,0.0
659,LPA,MUC,19.5,18.0
660,LPA,PAD,4.5,9.0
661,LPA,STN,1.0,8.5
662,LPA,ALC,5.0,3.0
663,LPA,ORK,23.0,4.5
664,LPA,SVQ,23.5,16.5
665,LPA,CDG,21.0,12.0
666,LPA,BIO,20.0,7.5
667,LPA,LBA,21.5,16.5
668,LPA,DKR,11.5,0.5
669,LPA,MAD,1.0,16.5
670,LPA,DUS,22.5,1.5
671,LPA,NCL,17.5,13.0
672,LPA,CRL,2.5,9.5
673,LPA,AGP,6.0,10.5
674,LPA,SPC,0.5,16.5
675,LPA,OPO,1.5,1.0
676,LPA,BRS,3.0,10.5
677,RMF,DUS,20.0,2.0
678,RMF,VIE,8.0,13.5
679,TFS,LGW,23.0,3.0
680,TFS,VGO,2.0,7.5
681,TFS,NOC,6.5,8.5
682,TFS,LUX,7.0,13.5
683,TFS,BRE,3.0,2.5
684,TFS,ZRH,22.0,5.5
685,TFS,FCO,10.0,15.5
686,TFS,ORY,2.5,4.5
687,TFS,BGY,13.0,3.5
688,TFS,VDE,19.0,6.5
689,TFS,LTN,17.0,9.5
690,TFS,BHX,1.0,7.0
691,TFS,LPA,10.5,12.0
692,TFS,EDI,7.0,18.0
693,TFS,BVA,20.0,9.5
694,TFS,HAM,9.5,7.5
695,TFS,GVA,13.0,4.0
696,TFS,MUC,4.5,18.5
697,TFS,PAD,17.0,7.0
698,TFS,BLQ,3.5,9.0
699,TFS,ORK,9.0,12.0
700,TFS,FMM,2.0,1.0
701,TFS,HHN,18.0,1.5
702,TFS,BLL,17.5,11.0
703,TFS,PIK,4.5,10.5
704,TFS,TXL,10.0,4.0
705,TFS,LBA,11.0,14.5
706,TFS,SXF,16.5,4.5
707,TFS,SVO,5.0,13.5
708,TFS,SNN,16.5,18.0
709,TFS,LED,1.5,9.0
710,TFS,MAD,19.0,3.0
711,TFS,NCL,13.0,8.0
712,TFS,LIL,22.0,13.0
713,TFS,STR,13.0,10.0
714,TFS,DRS,23.0,4.0
715,TFS,ERF,22.5,1.5
716,TFS,MAN,21.0,3.5
717,TFS,BLK,1.0,13.0
718,TFS,BRS,16.5,8.0
719,TFS,GLA,5.0,5.0
720,TFS,BOD,1.5,14.5
721,TFS,DME,19.5,9.0
722,TFS,EMA,10.0,1.0
723,ZRH,BOS,10.5,8.5
724,ZRH,LUX,4.5,17.5
725,ZRH,LUG,7.5,5.0
726,ZRH,EWR,6.5,8.5
727,ZRH,NBO,20.0,11.0
728,ZRH,CTA,21.0,7.5
729,ZRH,NCE,1.5,11.5
730,ZRH,PMI,2.0,8.5
731,ZRH,TLV,11.5,5.0
732,ZRH,SAW,10.5,1.5
733,ZRH,LTN,17.5,8.0
734,ZRH,LIS,2.0,4.5
735,ZRH,PRG,17.0,0.0
736,ZRH,IAD,19.0,6.0
737,ZRH,BUD,10.5,9.0
738,ZRH,ADB,19.5,8.0
739,ZRH,OTP,13.0,0.0
740,ZRH,HEL,14.0,8.5
741,ZRH,BCN,4.0,3.5
742,ZRH,VCE,9.5,10.0
743,ZRH,CPH,10.0,13.5
744,ZRH,BKK,21.5,11.5
745,ZRH,OSL,23.5,7.0
746,ZRH,MUC,22.0,5.0
747,ZRH,SKP,18.0,12.0
748,ZRH,TRN,6.0,14.0
749,ZRH,DBV,16.5,15.0
750,ZRH,BLL,12.0,0.5
751,ZRH,BNX,10.0,2.5
752,ZRH,MLA,8.0,17.0
753,ZRH,ATH,22.0,13.5
754,ZRH,ZAG,13.5,4.0
755,ZRH,ORD,16.5,4.0
756,ZRH,TGD,21.5,8.5
757,ZRH,TXL,22.0,15.0
758,ZRH,DUB,17.0,10.0
759,ZRH,CGN,4.0,14.0
760,ZRH,EBA,16.5,8.0
761,ZRH,FNC,15.5,15.5
762,ZRH,HAV,17.0,4.0
763,ZRH,SVO,18.5,15.0
764,ZRH,MIA,12.0,7.0
765,ZRH,ARN,17.5,16.5
766,ZRH,SPU,0.0,15.5
767,ZRH,DUS,22.0,5.0
768,ZRH,STR,17.5,7.5
769,ZRH,LAX,21.5,6.0
770,ZRH,LYS,7.5,1.0
771,ZRH,HRG,17.5,9.5
772,ZRH,OPO,2.0,10.0
773,ZRH,GRU,20.5,4.0
774,ZRH,ATL,3.0,14.0
775,ZRH,ICN,19.5,2.5
776,ZRH,IST,4.0,8.5
777,ZRH,RIX,18.5,5.5
778,ZRH,DXB,19.5,5.5
779,ZRH,MXP,15.0,6.5
